year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2024,Indian Wells,SF,W,Paul,21.4,28.2,41.0,46.0,25.5,23.1,30.8,41.0,46.0,29.7,76.5,58.1,60.0,20.0,25.7,32.1,40,hard
2024,Indian Wells,R16,W,Dimitrov,39.2,47.1,65.5,68.8,43.1,48.4,61.3,65.5,68.8,54.8,14.3,64.7,100.0,27.8,27.8,61.5,72,hard
2024,Indian Wells,R32,W,Korda,20.7,28.7,52.5,56.7,24.8,33.3,46.7,52.5,56.7,41.3,56.5,36.4,0.0,9.4,12.5,48.3,-39,hard
2024,Indian Wells,R64,W,Carballes,18.8,37.5,68.4,76.2,28.5,25.0,50.0,68.4,76.2,41.8,75.0,31.3,,10.5,21.1,58.8,-8,hard
2024,Dubai,SF,L,Humbert,27.4,34.2,44.9,48.1,32.7,35.7,42.9,44.9,48.1,45.0,60.9,52.6,60.0,18.5,25.9,40.9,59,hard
2024,Dubai,QF,W,Davidovich,27.3,30.9,58.3,60.9,30.2,32.4,38.2,58.3,60.9,37.1,60.0,47.4,66.7,23.5,23.5,53.8,91,hard
2024,Dubai,R16,W,Sonego,18.7,37.3,65.5,66.7,30.0,13.3,37.8,65.5,66.7,32.2,63.2,50.0,50.0,29.6,40.7,63.2,72,hard
2024,Dubai,R32,W,Shevchenko,22.2,27.0,54.5,54.8,26.5,20.5,28.2,54.5,54.8,27.4,57.9,40.0,50.0,31.6,31.6,53.8,157,hard
2024,Australian Open,F,L,Sinner,27.3,35.3,54.6,61.7,33.5,36.8,48.4,54.6,61.7,45.8,44.7,43.8,0.0,7.5,7.5,43.2,-41,hard
2024,Australian Open,SF,W,Zverev,26.9,37.8,60.2,62.7,34.5,37.2,52.1,60.2,62.7,49.8,47.8,35.4,33.3,12.5,17.9,57.1,6,hard
