year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2023,Stockholm,F,W,Kotov,25.5,37.2,61.3,66.7,34.7,30.0,46.7,61.3,66.7,44.3,57.7,44.1,33.3,23.1,26.9,50.0,76,hard
2023,Cincinnati,R16,L,Djokovic,30.9,40.0,31.3,57.1,34.5,51.7,65.5,31.3,57.1,58.6,69.2,56.3,50.0,10.0,15.0,11.1,-33,hard
2023,Canada,QF,L,Sinner,35.6,42.5,47.1,58.3,38.6,52.9,60.8,47.1,58.3,58.0,51.7,50.0,,12.9,19.4,37.0,4,hard
2023,Canada,R32,W,Tsitsipas,27.1,37.3,71.4,78.6,32.7,48.1,59.3,71.4,78.6,60.4,66.7,40.0,100.0,17.6,35.3,64.3,19,hard
2023,Roland Garros,R128,W,Baez,17.5,25.3,46.4,53.4,22.9,25.5,37.8,46.4,53.4,34.7,48.1,47.7,55.6,9.8,12.2,32.4,-26,clay
2022,Canada,R64,W,Martinez,27.6,39.8,50.7,61.4,34.5,35.3,50.0,50.7,61.4,45.3,60.6,48.6,42.9,11.5,19.2,30.4,-8,hard
2022,Madrid,R32,L,Djokovic,23.3,32.6,41.9,42.1,32.3,32.1,42.9,41.9,42.1,46.1,25.0,33.3,0.0,7.7,15.4,41.7,-45,clay
2022,Madrid,R64,W,Gimeno,26.3,55.3,78.6,88.2,37.1,34.6,61.5,78.6,88.2,50.4,76.9,23.1,,8.3,41.7,63.6,-79,clay
2022,Indian Wells,R16,L,Alcaraz,26.9,34.3,38.6,41.7,30.7,35.1,45.9,38.6,41.7,42.2,46.7,40.9,0.0,20.0,24.0,35.0,65,hard
2022,Indian Wells,R32,W,Medvedev,21.8,28.7,55.7,56.1,27.5,30.5,39.0,55.7,56.1,38.8,48.4,28.6,60.0,4.8,9.5,55.0,-79,hard
2022,Indian Wells,R64,W,Krajinovic,46.7,55.0,57.1,72.7,52.0,62.1,75.9,57.1,72.7,73.1,57.1,46.7,,37.0,40.7,47.1,116,hard
2022,Australian Open,QF,L,Berrettini,32.4,41.9,54.1,58.1,36.9,43.4,56.6,54.1,58.1,51.6,34.2,42.1,50.0,20.8,26.4,50.0,84,hard
2022,Australian Open,R16,W,Kecmanovic,36.0,47.0,55.0,60.7,40.6,52.5,66.1,55.0,60.7,60.3,48.1,40.6,33.3,13.5,21.6,50.0,16,hard
2022,Australian Open,R64,W,Bublik,37.0,46.6,57.8,53.8,42.1,44.7,55.3,57.8,53.8,52.6,18.2,44.0,33.3,24.0,32.0,63.2,-21,hard
2022,Adelaide 1,F,W,Khachanov,39.2,51.0,67.7,66.7,45.3,43.2,56.8,67.7,66.7,51.6,31.6,38.9,,28.6,35.7,70.0,-79,hard
2021,Vienna,R16,L,Schwartzman,29.0,37.4,47.8,45.2,34.5,37.3,47.8,47.8,45.2,46.1,46.7,40.5,33.3,18.2,24.2,51.9,47,hard
2021,Sofia,F,L,Sinner,31.4,41.2,54.5,64.7,36.5,43.3,56.7,54.5,64.7,52.0,50.0,58.3,,15.8,21.1,43.8,39,hard
2021,US Open,R32,L,Sinner,32.9,43.5,41.3,44.9,38.2,50.5,62.6,41.3,44.9,59.6,40.8,42.0,25.0,9.8,19.7,38.2,-25,hard
2021,Cincinnati,R32,W,De,27.1,40.0,60.9,70.8,31.6,41.5,53.7,60.9,70.8,49.0,42.1,22.7,0.0,8.3,25.0,50.0,-42,hard
2021,Canada,QF,L,Isner,41.1,49.3,56.3,62.5,46.3,54.3,65.7,56.3,62.5,65.1,41.2,38.9,50.0,40.7,48.1,50.0,200,hard
2021,Roland Garros,R64,L,Ymer,15.5,27.3,44.4,47.9,21.5,23.8,33.3,44.4,47.9,34.3,50.0,18.9,16.7,4.5,20.5,40.5,-71,clay
2021,Roland Garros,R128,W,Ramos,22.2,37.8,49.0,62.5,31.8,34.2,54.8,49.0,62.5,51.9,37.8,47.2,75.0,9.4,20.8,35.4,-29,clay
2020,Roland Garros,R128,L,Bublik,18.6,29.5,47.8,53.0,25.4,22.4,35.5,47.8,53.0,32.3,57.4,35.8,42.9,13.5,21.6,34.4,-6,clay
2020,Dubai,SF,L,Djokovic,20.6,29.4,42.6,46.3,25.7,30.5,44.1,42.6,46.3,39.3,37.0,43.8,33.3,10.0,13.3,37.0,-26,hard
2020,Rotterdam,F,W,Auger,36.1,39.3,46.2,50.0,41.6,41.5,46.3,46.2,50.0,49.8,57.9,18.2,0.0,25.0,25.0,40.0,-79,hard
2020,Rotterdam,SF,W,Krajinovic,39.4,46.5,54.8,58.6,43.8,47.3,56.4,54.8,58.6,52.9,26.9,58.6,0.0,13.3,13.3,46.2,16,hard
2020,Rotterdam,R16,W,Simon,17.5,24.6,53.3,60.0,22.3,25.0,32.5,53.3,60.0,31.8,66.7,47.4,50.0,0.0,6.7,40.0,-118,hard
2020,Montpellier,F,W,Pospisil,28.7,38.8,57.7,66.7,36.0,30.4,44.6,57.7,66.7,40.7,52.0,35.5,25.0,31.6,31.6,30.8,157,hard
