year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2022,Australian Open,SF,Berrettini,23.5,37.3,61.8,30.8,31.4,45.7,60.4,42.0,37.9,61.0,100.0,6.7,20.0,64.3,-49,False,False,True,True
2022,Australian Open,QF,Shapovalov,38.4,46.6,55.7,44.9,44.0,56.0,62.5,53.6,44.2,50.9,66.7,34.3,34.3,39.1,169,False,False,True,True
2022,Melbourne,F,Cressy,41.5,46.2,62.5,46.0,48.7,51.3,55.0,56.2,29.4,54.5,100.0,40.0,50.0,75.0,173,False,False,True,True
2022,Melbourne,R16,Berankis,31.6,52.6,51.4,40.4,37.8,64.9,60.9,51.4,50.0,68.0,100.0,22.2,33.3,35.7,72,False,False,True,True
2021,Roland Garros,SF,Djokovic,15.0,25.6,47.6,21.8,18.6,32.6,50.0,29.1,17.1,60.0,66.7,10.3,15.4,42.9,-24,True,False,False,False
2021,Roland Garros,QF,Schwartzman,19.8,37.4,67.1,27.9,26.7,43.3,63.6,39.0,27.6,51.6,50.0,7.1,28.6,73.1,-47,True,False,False,True
2021,Roland Garros,R16,Sinner,18.1,31.3,63.9,25.8,25.0,41.7,75.0,38.3,26.3,75.9,50.0,10.7,21.4,48.0,-24,True,False,False,True
2021,Roland Garros,R32,Norrie,22.4,44.7,63.2,35.5,23.4,53.2,72.2,44.7,36.4,64.0,66.7,22.2,33.3,47.6,25,True,False,False,True
2021,Rome,F,Djokovic,20.8,29.2,50.7,28.7,21.6,32.4,55.2,31.9,8.3,57.9,50.0,19.0,19.0,35.3,-10,True,False,False,True
2021,Rome,SF,Opelka,42.1,52.6,62.5,47.5,53.5,65.1,65.0,60.7,28.6,50.0,33.3,7.7,15.4,58.3,-39,True,False,False,True
2021,Madrid,QF,Zverev,22.7,25.8,47.9,28.8,27.9,32.6,45.2,37.2,52.4,31.8,50.0,15.0,15.0,52.9,25,True,False,False,False
2021,Madrid,R32,Alcaraz,20.0,24.4,69.7,21.3,25.0,25.0,66.7,27.1,50.0,16.7,33.3,14.3,28.6,75.0,11,True,False,False,True
2021,Barcelona,F,Tsitsipas,13.9,24.6,61.0,21.3,16.3,31.3,62.7,27.5,21.1,85.7,85.7,10.8,13.5,57.6,-13,True,False,False,True
2021,Monte Carlo,QF,Rublev,13.6,23.9,46.4,19.0,19.2,32.7,45.2,28.3,26.9,50.0,42.9,6.9,13.8,48.1,-57,True,False,False,False
2021,Australian Open,QF,Tsitsipas,33.1,42.4,58.6,37.9,44.7,55.3,59.6,51.7,43.2,59.3,100.0,8.7,15.2,57.1,-26,False,False,True,False
2020,Tour Finals,SF,Medvedev,22.2,32.5,47.7,27.6,37.3,50.7,59.5,46.7,51.9,52.5,42.9,2.1,8.5,37.0,-96,False,False,True,False
2020,Tour Finals,RR,Rublev,42.6,53.7,61.3,47.4,46.2,56.4,66.7,52.8,17.6,40.9,60.80416666666667,33.3,46.7,50.0,-79,False,False,True,True
2020,Tour Finals,RR,Thiem,28.7,37.5,51.8,32.6,38.8,49.0,50.0,45.1,61.1,58.1,50.0,13.3,20.0,53.8,-30,False,False,True,False
2020,Paris,SF,Zverev,25.0,36.8,47.1,30.1,28.3,43.5,48.5,35.9,52.4,52.0,50.0,18.2,22.7,44.4,-79,False,False,True,False
2020,Roland Garros,F,Djokovic,19.0,28.6,59.7,25.4,23.6,36.4,57.1,33.3,17.4,68.8,50.0,10.7,14.3,64.0,-27,True,False,False,True
2020,Roland Garros,SF,Schwartzman,13.7,17.9,57.4,19.4,14.6,20.7,62.9,22.8,53.8,51.2,55.6,11.4,11.4,45.2,-79,True,False,False,True
2020,Roland Garros,QF,Sinner,9.3,21.6,60.9,18.6,7.8,26.6,62.7,21.9,32.0,74.4,80.0,12.5,12.5,57.1,-33,True,False,False,True
2020,Rome,QF,Schwartzman,11.1,19.0,39.3,15.1,14.8,33.3,39.1,24.1,23.1,64.3,66.7,8.3,8.3,39.4,-79,True,False,False,False
