year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2020,Roland Garros,QF,Thiem,18.0,23.3,51.3,23.3,20.2,25.8,52.5,28.3,62.0,44.6,33.3,15.0,20.0,49.0,34,True,False,False,True
2020,Roland Garros,R16,Sonego,20.3,28.4,58.9,27.2,24.4,31.1,58.8,35.8,65.0,44.0,40.0,15.4,26.9,59.1,34,True,False,False,True
2020,Rome,F,Djokovic,13.6,21.2,44.4,20.2,18.6,30.2,48.6,28.6,66.7,36.8,25.0,5.0,5.0,36.8,-70,True,False,False,False
2020,Rome,SF,Shapovalov,11.5,23.9,51.0,17.5,14.1,26.9,49.3,22.8,80.6,9.5,0.0,6.1,18.2,54.8,-55,True,False,False,True
2020,Rome,QF,Nadal,8.3,16.7,58.2,13.7,5.4,16.2,62.9,14.1,85.7,18.8,100.0,13.0,17.4,50.0,-79,True,False,False,True
2020,Buenos Aires,QF,Cuevas,9.2,18.3,55.6,15.6,10.3,19.6,58.3,18.9,56.3,71.2,57.1,6.3,15.6,46.7,-55,True,False,False,True
2020,Cordoba,F,Garin,21.5,27.8,40.7,24.7,12.8,23.4,43.9,18.1,56.5,20.8,20.0,37.9,37.9,33.3,63,True,False,False,False
2020,Australian Open,R16,Djokovic,22.5,24.7,44.3,25.7,25.0,27.1,47.2,31.0,60.9,20.0,20.0,24.2,27.3,40.0,85,False,False,True,False
2020,Australian Open,R64,Davidovich,28.7,37.9,52.6,32.8,32.7,46.9,51.5,39.8,56.5,26.9,25.0,27.3,30.3,54.2,120,False,False,True,True
2020,Atp Cup,QF,Medvedev,17.1,29.3,57.8,24.6,18.5,37.0,56.8,30.0,61.5,42.9,20.0,16.7,16.7,60.0,45,False,False,True,False
2020,Atp Cup,RR,Hurkacz,23.3,31.1,51.5,28.0,32.7,44.9,54.5,41.2,59.3,27.3,50.0,13.2,15.8,48.5,16,False,False,True,False
2020,Atp Cup,RR,Thiem,17.3,24.0,49.2,21.7,20.0,26.0,47.5,26.6,71.4,55.2,40.0,13.6,22.7,52.6,14,False,False,True,False
2019,Vienna,F,Thiem,8.4,17.9,56.0,17.7,8.7,20.3,61.9,21.4,51.5,36.1,25.0,8.7,13.0,38.1,-33,False,False,True,False
2019,Vienna,SF,Monfils,22.2,33.3,64.3,28.9,30.0,45.0,64.3,39.0,36.8,38.1,0.0,0.0,0.0,64.3,-118,False,False,True,True
2019,US Open,QF,Nadal,16.1,21.5,45.3,20.9,21.1,28.1,46.7,28.8,63.0,36.7,28.6,9.1,12.1,43.3,-26,False,False,True,False
2019,US Open,R16,Zverev,14.6,20.8,55.1,19.2,20.0,28.0,58.3,28.0,56.8,21.1,0.0,9.5,14.3,50.0,-44,False,False,True,True
2019,US Open,R128,Haase,16.1,33.3,64.8,27.1,16.0,40.0,71.4,35.2,63.2,45.2,100.0,17.1,25.7,55.2,3,False,False,True,True
2019,Los Cabos,F,Fritz,21.1,25.4,55.6,26.6,17.9,25.6,59.4,27.9,43.8,17.4,0.0,26.7,26.7,50.0,16,False,False,True,True
2019,Wimbledon,R32,Berrettini,23.1,31.2,64.6,30.5,22.6,32.2,65.2,33.7,54.2,31.3,33.3,25.5,30.9,63.4,-1,False,True,False,False
2019,Queen's Club,R32,Bublik,30.0,35.0,80.0,35.5,26.9,34.6,89.5,35.4,71.4,16.7,32.961946902654866,45.5,45.5,50.0,246,False,True,False,True
2019,Rome,SF,Djokovic,21.3,30.0,57.4,25.1,30.0,40.0,51.4,36.2,75.0,34.6,33.3,7.1,14.3,65.4,-45,True,False,False,False
2019,Munich,R16,Garin,9.8,14.8,45.1,13.4,7.0,11.6,47.5,12.1,57.1,40.9,22.2,21.4,28.6,36.4,65,True,False,False,False
2019,Acapulco,R32,Copil,26.6,29.1,46.3,28.6,28.3,32.1,55.3,31.3,48.1,65.4,40.0,27.3,27.3,25.0,136,False,False,True,True
2019,Buenos Aires,F,Cecchinato,1.8,15.8,54.0,9.8,2.5,22.5,56.4,14.0,60.0,70.0,75.0,0.0,0.0,45.5,-118,True,False,False,False
2019,Buenos Aires,SF,Thiem,11.5,14.4,51.2,14.1,12.5,16.3,52.9,15.9,55.6,77.3,50.0,12.5,12.5,42.9,-26,True,False,False,True
2019,Buenos Aires,R16,Bedene,25.0,32.4,49.0,29.7,28.8,36.5,51.4,35.0,29.6,80.0,50.0,14.3,21.4,41.7,19,True,False,False,True
2019,Buenos Aires,R16,Bedene,25.0,32.4,49.0,29.7,28.8,36.5,51.4,35.0,29.6,80.0,50.0,14.3,21.4,41.7,19,True,False,False,True
2019,Cordoba,R16,Giannessi,17.0,24.5,56.2,23.3,18.3,28.2,63.8,26.6,75.0,20.9,0.0,16.7,16.7,26.7,25,True,False,False,True
2019,Australian Open,R32,Berdych,29.4,39.7,57.3,37.1,34.7,49.3,67.3,47.6,57.1,35.0,20.0,25.0,29.5,42.4,-13,False,False,True,False
2018,Paris,R16,Zverev,18.0,27.9,48.9,24.1,27.0,40.5,44.4,37.0,62.5,23.8,33.3,4.8,9.5,55.0,-70,False,False,True,False
2018,Antwerp,QF,Simon,19.7,23.0,41.5,24.3,28.2,33.3,53.6,35.4,61.1,42.9,25.0,7.1,7.1,15.4,-49,False,False,True,True
2018,Antwerp,R16,Norrie,18.8,32.5,60.9,28.8,24.3,45.7,67.9,41.0,57.1,51.4,100.0,11.4,13.6,51.3,-1,False,False,True,True
2018,US Open,R32,Nishikori,16.1,22.1,48.3,20.5,16.7,23.3,48.0,24.0,56.1,46.9,28.6,18.0,24.0,48.8,50,False,False,True,False
2018,US Open,R64,Munar,21.9,29.8,58.2,27.0,29.7,40.5,57.7,37.6,53.1,40.5,40.0,10.0,13.3,59.3,-36,False,False,True,True
2018,Miami,R32,Raonic,17.9,35.8,61.1,27.2,20.4,40.8,66.7,33.1,30.4,61.5,75.0,11.8,23.5,46.7,4,False,False,True,False
2018,Rio de Janeiro,F,Verdasco,14.5,20.3,60.0,18.4,20.0,28.6,67.9,27.7,80.0,5.0,0.0,10.0,13.3,51.9,-21,True,False,False,True
2018,Rio de Janeiro,SF,Jarry,29.9,34.3,54.8,32.1,39.0,46.3,60.0,42.7,62.5,20.0,50.0,19.0,19.0,47.1,51,True,False,False,True
2017,Paris,R32,Isner,40.0,51.4,57.4,45.0,44.8,56.9,53.1,54.0,55.6,41.9,33.3,35.6,46.7,62.1,-15,False,False,True,False
2017,Vienna,R16,Carreno,21.4,30.0,47.2,24.6,26.7,33.3,36.4,34.0,64.7,38.5,0.0,18.4,28.9,54.8,-3,False,False,True,True
