year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2024,Indian Wells,R32,L,Nardi,32.6,44.2,46.0,60.6,37.9,42.1,59.6,46.0,60.6,50.9,45.8,54.5,60.0,18.9,21.6,30.0,-39,hard
2024,Indian Wells,R64,W,Vukic,38.2,48.7,59.5,61.9,42.2,54.3,65.2,59.5,61.9,61.1,54.2,50.0,0.0,16.0,28.0,57.1,29,hard
2024,Australian Open,SF,L,Sinner,20.7,29.3,52.3,53.6,25.8,28.2,37.2,52.3,53.6,35.8,44.1,38.6,28.6,5.9,14.7,50.0,-60,hard
2024,Australian Open,QF,W,Fritz,40.0,53.9,57.6,62.9,46.9,51.4,66.7,57.6,62.9,62.4,48.3,39.5,33.3,22.5,35.0,51.6,27,hard
2024,Australian Open,R16,W,Mannarino,42.0,52.2,65.7,59.1,47.4,54.2,64.6,65.7,59.1,61.9,60.0,42.9,0.0,18.8,31.3,76.9,39,hard
2024,Australian Open,R64,W,Popyrin,34.5,41.2,59.0,69.8,40.5,41.1,49.3,59.0,69.8,51.0,39.5,60.0,100.0,23.9,28.3,45.7,-79,hard
2024,Australian Open,R128,W,Prizmic,30.2,39.5,49.4,46.9,36.0,36.4,48.1,49.4,46.9,46.1,42.9,45.2,66.7,21.6,27.5,52.5,-50,hard
2024,United Cup,QF,L,De,26.5,38.2,46.9,51.9,35.1,37.2,53.5,46.9,51.9,50.9,47.6,45.5,100.0,8.3,12.5,40.9,-30,hard
2024,United Cup,RR,W,Lehecka,25.0,36.3,60.3,62.9,31.6,28.6,42.9,60.3,62.9,39.4,50.0,51.9,100.0,20.7,27.6,56.5,19,hard
2023,Davis Cup,RR,L,Sinner,31.2,44.2,55.8,63.3,37.8,36.2,55.3,55.8,63.3,47.0,52.2,45.8,100.0,24.1,27.6,45.5,-29,hard
2023,Tour Finals,F,W,Sinner,54.3,60.9,61.9,72.7,60.2,65.6,75.0,61.9,72.7,74.1,58.8,46.7,0.0,28.6,28.6,50.0,-79,hard
2023,Tour Finals,SF,W,Alcaraz,34.5,47.3,60.0,66.7,43.1,43.2,62.2,60.0,66.7,55.9,40.0,50.0,100.0,17.6,17.6,50.0,5,hard
2023,Tour Finals,RR,L,Sinner,44.0,59.0,52.7,55.6,50.8,57.1,73.0,52.7,55.6,67.9,53.8,45.9,0.0,22.2,36.1,50.0,-38,hard
2023,Tour Finals,RR,W,Rune,36.1,49.1,46.2,53.7,43.2,44.6,62.2,46.2,53.7,55.0,48.6,51.3,100.0,20.0,23.3,33.3,76,hard
2023,Paris,SF,W,Rublev,42.4,49.2,49.2,44.7,46.9,51.9,59.5,49.2,44.7,58.7,60.0,46.9,25.0,26.5,32.4,56.0,115,hard
2023,Paris,QF,W,Rune,36.3,49.5,63.0,65.2,42.1,51.1,66.0,63.0,65.2,62.3,47.8,45.8,100.0,22.5,35.0,61.3,59,hard
2023,Paris,R16,W,Griekspoor,37.7,46.2,49.2,57.1,44.3,47.0,59.1,49.2,57.1,57.6,53.1,52.9,25.0,27.3,30.3,37.5,129,hard
2023,US Open,F,W,Medvedev,18.3,33.0,66.3,75.0,30.7,26.7,51.7,66.3,75.0,49.2,51.9,30.3,50.0,9.3,11.6,56.4,-28,hard
2023,US Open,SF,W,Shelton,24.2,35.4,59.7,75.5,32.8,27.9,44.1,59.7,75.5,40.4,58.6,41.0,50.0,17.9,17.9,26.1,59,hard
2023,US Open,QF,W,Fritz,21.3,33.0,58.0,60.5,29.1,23.2,41.1,58.0,60.5,36.4,41.4,37.0,50.0,21.2,24.2,53.8,85,hard
2023,US Open,R32,W,Djere,34.6,45.7,57.1,63.0,41.7,43.2,59.3,57.1,63.0,54.2,52.3,51.4,33.3,22.5,25.0,48.4,59,hard
2023,Cincinnati,F,W,Alcaraz,32.8,43.8,51.9,44.2,36.6,41.1,49.3,51.9,44.2,47.7,59.3,30.4,0.0,24.0,40.0,60.5,59,hard
2023,Cincinnati,SF,W,Zverev,36.3,46.3,58.3,66.7,43.0,41.2,52.9,58.3,66.7,51.8,42.1,43.8,50.0,30.8,38.5,44.4,78,hard
2023,Cincinnati,QF,W,Fritz,37.5,50.0,71.4,66.7,45.2,42.3,61.5,71.4,66.7,54.2,35.7,50.0,0.0,40.0,40.0,83.3,196,hard
2023,Wimbledon,F,L,Alcaraz,23.4,34.2,48.6,48.9,30.2,25.4,36.4,48.6,48.9,36.0,48.2,41.9,28.6,20.6,31.7,48.0,-10,grass
2023,Wimbledon,SF,W,Sinner,29.5,35.7,56.4,59.0,34.9,40.0,47.7,56.4,59.0,49.4,48.5,46.9,33.3,15.2,19.6,53.8,-79,grass
2023,Roland Garros,F,W,Ruud,25.7,43.6,67.6,71.2,37.8,29.7,51.4,67.6,71.2,46.2,30.0,54.5,75.0,15.4,23.1,59.1,-23,clay
2023,Roland Garros,SF,W,Alcaraz,27.2,37.6,51.1,58.3,33.0,31.8,45.5,51.1,58.3,40.0,54.5,54.5,66.7,17.6,20.6,35.7,44,clay
2023,Roland Garros,QF,W,Khachanov,24.4,38.2,63.4,65.5,30.9,30.4,44.3,63.4,65.5,41.1,52.5,53.8,28.6,17.4,32.6,60.5,51,clay
2023,Roland Garros,R16,W,Varillas,24.3,47.1,70.0,76.9,40.1,30.4,57.1,70.0,76.9,50.2,40.9,47.1,0.0,0.0,9.1,45.5,-118,clay
2023,Roland Garros,R32,W,Davidovich,14.9,19.3,48.8,55.2,19.2,18.3,25.4,48.8,55.2,25.2,53.8,48.9,20.0,14.3,14.3,33.3,11,clay
2023,Roland Garros,R64,W,Fucsovics,20.2,40.4,53.3,50.0,29.8,25.0,45.3,53.3,50.0,39.8,53.6,38.9,60.0,12.9,35.5,59.3,8,clay
2023,Rome,QF,L,Rune,27.3,36.4,41.5,40.6,33.6,34.7,44.9,41.5,40.6,44.7,50.0,56.5,66.7,16.0,24.0,42.9,39,clay
2023,Banja Luka,QF,L,Lajovic,14.1,22.4,54.9,55.1,18.4,16.9,27.1,54.9,55.1,23.1,50.0,51.6,100.0,8.3,12.5,54.5,-33,hard
2023,Monte Carlo,R16,L,Musetti,6.4,23.4,51.9,54.4,17.7,8.1,30.6,51.9,54.4,25.2,50.0,66.7,66.7,4.0,12.0,45.8,-82,clay
2023,Dubai,SF,L,Medvedev,27.4,43.5,51.2,51.7,39.4,31.0,54.8,51.2,51.7,48.6,47.8,73.7,100.0,22.2,22.2,50.0,1,hard
2023,Dubai,R32,W,Machac,32.0,44.0,55.0,56.4,39.3,35.0,53.3,55.0,56.4,47.2,55.2,54.8,20.0,34.4,37.5,52.4,184,hard
2023,Australian Open,F,W,Tsitsipas,25.0,36.0,69.4,71.4,32.6,36.4,48.5,69.4,71.4,47.9,43.5,60.5,100.0,3.2,12.9,66.7,-86,hard
2023,Australian Open,SF,W,Paul,30.8,40.7,56.9,56.7,37.4,43.4,54.7,56.9,56.7,54.7,60.0,50.0,75.0,15.2,24.2,57.1,27,hard
2023,Australian Open,QF,W,Rublev,45.5,50.0,48.8,54.2,48.4,57.1,64.3,48.8,54.2,61.8,60.0,54.8,50.0,29.6,29.6,42.1,157,hard
