year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2019,Newport,F,Bublik,46.7,65.0,55.2,55.5,52.6,71.1,55.6,66.6,63.2,42.1,100.0,42.1,63.2,54.5,127,False,True,False,True
2019,Newport,SF,Humbert,48.2,70.2,50.9,56.2,57.3,78.0,54.3,68.4,60.5,47.7,50.0,28.6,57.1,45.0,110,False,True,False,True
2019,Miami,F,Federer,34.0,39.6,36.4,35.1,41.0,41.0,30.4,42.6,31.6,40.0,50.0,16.7,41.7,50.0,39,False,False,True,False
2019,Miami,SF,Auger,52.6,60.3,34.3,56.5,58.9,67.9,39.1,64.5,52.2,36.4,100.0,40.0,45.0,25.0,59,False,False,True,True
2019,Miami,QF,Bautista,53.7,64.6,43.2,58.0,65.6,75.4,38.1,71.5,37.5,45.9,100.0,20.0,35.0,50.0,-7,False,False,True,True
2019,Acapulco,SF,Kyrgios,40.6,56.6,63.2,47.0,50.6,63.6,65.8,59.5,51.7,33.3,100.0,17.4,47.8,57.9,34,False,False,True,False
2019,New York,SF,Opelka,61.6,71.2,51.1,67.9,63.6,73.6,55.0,70.8,53.8,47.9,50.0,50.0,57.1,28.6,22,False,False,True,False
2018,Tour Finals,RR,Cilic,43.3,53.8,43.4,48.5,55.1,63.8,38.7,62.9,46.7,43.6,25.0,24.1,41.4,50.0,102,False,False,True,False
2018,Tour Finals,RR,Zverev,46.7,53.3,45.2,49.2,55.3,63.2,41.2,59.2,50.0,50.0,61.53658536585365,33.3,38.1,50.0,-10,False,False,True,False
2018,Tour Finals,RR,Djokovic,38.5,46.2,34.2,43.4,44.4,53.3,40.0,51.6,59.3,33.3,100.0,27.8,33.3,23.1,72,False,False,True,False
2018,US Open,QF,del,38.6,53.8,44.0,45.2,47.2,60.7,44.7,58.0,53.7,39.6,100.0,27.5,47.1,43.2,31,False,False,True,False
2018,Atlanta,F,Harrison,41.7,59.2,48.2,48.3,50.0,67.2,50.0,60.5,60.7,30.6,100.0,31.4,51.4,45.8,40,False,False,True,True
2018,Wimbledon,SF,Anderson,46.4,59.8,47.3,55.0,53.7,67.9,53.5,65.2,44.0,41.7,50.0,26.9,38.8,34.7,45,False,True,False,False
2018,Wimbledon,QF,Raonic,58.3,68.3,56.5,64.5,67.0,78.4,69.0,75.5,45.2,47.4,100.0,39.3,46.4,35.3,110,False,True,False,True
2018,Roland Garros,R16,del,34.5,52.9,43.8,41.0,44.2,61.5,48.3,55.2,58.3,42.9,100.0,26.9,53.8,36.8,123,True,False,False,False
2018,Madrid,QF,Zverev,32.5,44.2,42.3,40.6,36.4,50.0,45.2,45.9,43.8,55.9,50.0,9.1,9.1,30.0,-79,True,False,False,False
2018,Miami,F,Zverev,47.9,60.4,54.2,52.8,62.1,72.7,52.0,69.2,51.5,54.5,66.7,17.9,35.7,56.5,22,False,False,True,True
2018,Miami,SF,del,49.1,70.9,63.0,55.6,60.0,77.1,57.1,70.3,40.0,60.0,61.53658536585365,31.6,63.2,69.2,-3,False,False,True,True
2017,Paris,SF,Krajinovic,52.2,73.9,64.3,60.0,61.6,78.1,60.7,71.5,51.6,45.2,61.53658536585365,17.6,64.7,71.4,56,False,False,True,False
2017,Paris,QF,del,37.9,60.9,72.0,49.3,42.6,67.2,71.4,58.9,50.0,57.1,61.53658536585365,31.8,54.5,73.3,154,False,False,True,True
2017,Paris,R16,Dimitrov,44.3,58.8,49.3,52.7,50.5,66.0,49.0,61.2,50.0,44.1,57.1,25.0,37.5,50.0,118,False,False,True,True
2017,Paris,R32,Schwartzman,50.0,64.6,41.7,55.7,58.2,69.2,36.8,66.4,48.6,39.3,33.3,35.3,61.8,50.0,115,False,False,True,True
2017,Beijing,QF,Nadal,49.3,56.2,28.6,53.0,60.7,66.1,22.7,65.5,44.0,48.4,66.7,13.3,26.7,38.5,11,False,False,True,False
