year,tourney,round,opponent,Unret%,<=3 W%,overall: RiP W%,1st: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2019,Rome,R16,Coric,29.4,42.2,46.7,42.5,35.3,35.5,46.8,46.0,62.1,54.5,0.0,22.2,37.8,51.4,-15,True,False,False,True
2019,Madrid,QF,Thiem,39.6,53.8,52.5,61.0,46.8,46.1,64.5,56.1,43.3,56.5,33.3,25.9,29.6,35.0,72,True,False,False,False
2019,Madrid,R16,Monfils,35.7,48.8,53.8,59.4,46.0,36.0,56.0,53.2,39.1,37.0,50.0,37.5,40.6,45.0,10,True,False,False,True
2019,Miami,R16,Medvedev,33.3,45.8,65.6,73.7,40.0,42.4,54.5,52.1,33.3,44.4,0.0,13.3,26.7,53.8,-79,False,False,True,True
2019,Miami,R64,Albot,37.4,51.6,60.0,55.2,42.7,49.1,57.9,57.7,56.5,55.9,100.0,18.8,43.8,65.4,10,False,False,True,True
2019,Indian Wells,F,Thiem,22.6,40.5,55.6,60.5,33.9,27.1,49.2,43.2,25.8,46.4,100.0,13.0,21.7,45.0,14,False,False,True,False
2019,Indian Wells,QF,Hurkacz,27.1,39.0,67.5,76.2,33.4,34.4,50.0,45.9,46.7,41.2,100.0,20.8,29.2,57.9,86,False,False,True,True
2019,Indian Wells,R16,Edmund,32.3,46.2,54.5,66.7,40.5,41.5,58.5,54.4,50.0,42.1,33.3,16.7,25.0,40.0,-79,False,False,True,True
2019,Dubai,F,Tsitsipas,32.7,47.3,67.6,74.1,42.4,35.7,52.4,48.3,31.6,34.8,50.0,23.1,30.8,50.0,-79,False,False,True,True
2019,Dubai,QF,Fucsovics,25.0,46.3,53.4,62.5,35.5,36.0,60.0,52.8,60.0,44.0,0.0,7.1,25.0,42.3,-45,False,False,True,True
2019,Dubai,R16,Verdasco,38.5,57.7,60.9,58.6,46.3,47.3,67.3,58.4,45.8,41.9,50.0,19.0,38.1,64.7,53,False,False,True,True
2019,Australian Open,R16,Tsitsipas,36.5,51.9,57.6,60.7,46.4,46.7,65.7,61.3,37.5,46.2,0.0,15.7,23.5,53.5,-79,False,False,True,False
2018,Tour Finals,SF,Zverev,32.3,43.1,56.8,63.6,40.0,40.5,51.4,54.1,60.0,59.3,0.0,21.4,32.1,50.0,-79,False,False,True,False
2018,Tour Finals,RR,Anderson,34.0,44.0,59.4,62.5,40.4,46.7,60.0,57.3,38.5,64.7,33.3,15.8,21.1,56.3,-3,False,False,True,True
2018,Paris,SF,Djokovic,32.4,46.0,53.3,54.7,40.9,43.0,57.0,55.8,63.0,53.2,42.9,11.4,25.0,51.3,-13,False,False,True,False
2018,Basel,F,Copil,29.2,41.5,69.8,88.2,35.2,50.0,58.8,61.5,55.6,62.5,0.0,7.1,25.0,57.7,-47,False,False,True,True
2018,Shanghai,SF,Coric,39.3,52.5,43.2,52.4,46.9,47.5,67.5,59.0,50.0,50.0,20.0,23.8,23.8,31.3,-79,False,False,True,False
2018,Shanghai,R32,Medvedev,31.4,48.8,54.2,66.7,41.7,45.0,66.7,59.8,57.7,58.8,100.0,0.0,7.7,38.5,-118,False,False,True,True
2018,US Open,R16,Millman,28.3,43.9,53.5,66.7,37.1,43.5,62.4,61.4,40.5,60.4,66.7,15.4,29.5,43.9,32,False,False,True,False
2018,US Open,R32,Kyrgios,38.0,54.3,58.9,74.2,47.7,49.2,70.5,63.8,48.3,62.5,50.0,16.7,23.3,40.0,-30,False,False,True,True
2018,US Open,R64,Paire,27.4,38.9,62.5,60.0,32.4,36.4,47.3,45.1,60.0,63.3,0.0,17.1,31.4,65.5,47,False,False,True,True
2018,US Open,R128,Nishioka,30.5,48.8,57.4,63.6,40.6,40.0,63.6,55.1,62.5,64.5,40.0,12.5,20.8,47.6,4,False,False,True,True
2018,Cincinnati,F,Djokovic,32.5,36.4,41.7,34.8,37.8,48.9,51.1,58.0,47.6,54.2,50.0,10.7,17.9,48.0,-15,False,False,True,False
2018,Wimbledon,QF,Anderson,44.6,55.4,51.5,55.9,50.6,52.0,63.4,60.7,50.9,54.3,100.0,28.3,37.7,44.7,-51,False,True,False,False
2018,Wimbledon,R16,Mannarino,40.8,53.9,62.2,79.2,50.8,52.9,68.6,67.8,45.8,44.4,50.0,16.0,24.0,42.9,-79,False,True,False,True
2018,Halle,F,Coric,45.5,59.1,53.2,72.4,56.4,53.2,72.6,68.7,66.7,54.3,0.0,28.0,28.0,22.2,-21,False,True,False,False
2018,Halle,SF,Kudla,33.3,50.7,63.8,72.4,43.2,42.0,62.0,56.8,60.0,56.0,33.3,18.2,31.8,50.0,58,False,True,False,True
2018,Halle,QF,Ebden,43.1,52.3,56.8,64.7,49.7,52.8,66.7,64.7,35.3,63.2,100.0,31.0,34.5,50.0,-79,False,True,False,True
2018,Halle,R16,Paire,34.4,48.9,52.5,53.1,42.1,43.9,59.6,56.0,50.0,48.6,66.7,18.2,30.3,51.9,-79,False,True,False,True
2018,Stuttgart,R16,Zverev,32.4,47.9,55.3,62.5,43.9,33.3,50.0,50.4,36.4,26.9,50.0,31.8,45.5,40.0,-13,False,True,False,True
2018,Miami,R64,Kokkinakis,32.1,45.2,63.0,69.7,41.8,40.0,56.4,54.7,66.7,61.8,0.0,19.2,26.9,52.4,72,False,False,True,False
2018,Indian Wells,F,del,27.8,39.1,56.4,58.1,35.8,38.6,52.9,51.7,48.3,51.2,50.0,12.5,20.0,54.3,4,False,False,True,False
2018,Indian Wells,SF,Coric,28.4,40.9,51.6,50.0,34.4,34.6,48.1,44.8,42.9,48.4,40.0,20.0,31.4,53.6,-37,False,False,True,True
2018,Indian Wells,QF,Chung,27.5,47.8,53.1,53.3,37.5,34.8,54.3,49.8,60.0,46.2,66.7,13.6,36.4,52.6,-13,False,False,True,True
2018,Indian Wells,R32,Krajinovic,42.9,66.7,60.9,75.0,52.6,55.6,81.5,70.7,60.0,50.0,50.0,21.4,42.9,45.5,22,False,False,True,True
2018,Indian Wells,R64,Delbonis,30.5,48.8,53.6,54.8,40.1,41.5,62.3,56.4,72.2,42.9,100.0,10.7,25.0,52.0,-27,False,False,True,True
2018,Australian Open,F,Cilic,46.8,54.7,48.6,52.8,50.9,57.1,66.7,64.0,50.0,47.5,0.0,33.3,39.2,44.1,31,False,False,True,True
2018,Australian Open,QF,Berdych,31.3,47.9,63.9,71.4,39.8,41.7,65.0,55.3,57.7,55.9,100.0,16.1,22.6,53.8,35,False,False,True,True
2018,Australian Open,R32,Gasquet,34.0,53.2,50.8,67.6,46.5,39.3,63.9,58.5,42.9,63.6,0.0,25.0,34.4,25.0,-33,False,False,True,True
2018,Australian Open,R64,Struff,47.8,60.9,55.3,57.1,52.9,59.6,73.1,68.7,58.3,46.4,100.0,33.3,46.2,53.8,-41,False,False,True,True
2018,Australian Open,R128,Bedene,33.3,56.8,62.7,62.9,45.1,39.7,62.1,56.0,45.5,55.6,0.0,20.0,50.0,62.5,73,False,False,True,True
2017,Tour Finals,SF,Goffin,33.8,46.8,53.2,60.0,45.2,34.8,52.2,53.9,63.6,62.5,50.0,37.0,44.4,41.2,72,False,False,True,False
2017,Basel,F,del,28.7,39.6,55.2,57.6,34.5,37.7,52.8,48.7,26.1,46.7,20.0,20.9,27.9,52.9,79,False,False,True,True
2017,US Open,QF,del,29.9,44.5,54.9,50.0,36.9,44.6,60.2,56.0,40.5,63.0,66.7,8.2,22.4,60.0,-37,False,False,True,False
2017,US Open,R128,Tiafoe,40.5,50.0,47.7,46.2,45.7,58.7,68.3,68.3,38.2,41.4,0.0,20.4,30.6,48.7,35,False,False,True,True
2017,Canada,F,Zverev,35.8,45.3,46.9,52.9,40.6,37.0,55.6,46.3,53.8,50.0,0.0,37.5,37.5,40.0,37,False,False,True,False
2017,Canada,SF,Haase,44.4,59.3,72.4,71.4,52.2,53.3,73.3,67.3,41.7,38.9,0.0,34.8,43.5,73.3,-16,False,False,True,True
2017,Canada,R16,Ferrer,35.3,42.2,43.5,41.9,39.4,48.3,58.3,55.3,52.0,45.7,50.0,18.4,21.1,45.2,65,False,False,True,True
2017,Wimbledon,SF,Berdych,35.2,55.2,66.1,71.1,46.2,44.9,69.6,61.6,46.2,55.8,33.3,20.0,33.3,58.3,59,False,True,False,True
2017,Wimbledon,QF,Raonic,32.6,49.4,66.7,80.0,44.3,46.4,64.3,65.0,29.2,59.4,75.0,12.5,33.3,47.6,-19,False,True,False,True
2017,Wimbledon,R16,Dimitrov,40.0,56.0,57.8,53.6,46.1,46.2,61.5,55.0,35.0,62.5,0.0,26.1,43.5,64.7,-79,False,True,False,True
2017,Halle,F,Zverev,45.2,54.8,60.9,78.6,57.4,51.7,62.1,69.3,46.2,37.5,100.0,30.8,38.5,33.3,-79,False,True,False,True
2017,Halle,SF,Khachanov,27.3,42.9,55.6,59.5,36.0,28.8,50.0,41.7,60.0,46.9,33.3,26.1,30.4,47.1,42,False,True,False,True
2017,Stuttgart,R16,Haas,40.4,55.3,50.0,52.8,49.4,48.6,65.7,60.6,62.1,39.0,0.0,18.2,27.3,44.4,47,False,True,False,False
2017,Miami,F,Nadal,24.2,40.3,65.2,81.5,35.3,30.8,53.8,48.5,61.1,52.4,0.0,13.6,18.2,42.1,-13,False,False,True,True
2017,Miami,QF,Berdych,30.6,44.7,53.7,51.6,36.1,40.4,53.8,49.4,54.5,46.7,0.0,17.9,35.7,56.5,49,False,False,True,True
2017,Indian Wells,F,Wawrinka,31.6,45.6,63.2,60.0,41.4,44.4,55.6,60.0,60.0,52.4,100.0,10.0,30.0,66.7,-13,False,False,True,True
2017,Indian Wells,R16,Nadal,40.0,60.0,60.0,57.1,44.4,41.7,58.3,50.0,41.7,66.7,0.0,42.1,68.4,63.6,-3,False,False,True,True
2017,Dubai,R16,Donskoy,40.4,54.1,47.6,53.3,48.5,43.8,60.0,54.9,52.9,47.8,50.0,33.3,40.7,33.3,25,False,False,True,False
2017,Australian Open,F,Nadal,32.6,47.8,51.1,58.3,39.8,43.5,61.2,55.2,60.0,42.5,44.4,16.0,28.0,42.9,7,False,False,True,True
2017,Australian Open,SF,Wawrinka,31.5,46.9,52.6,54.7,39.7,38.4,54.7,52.1,57.5,43.5,66.7,22.2,37.0,50.0,1,False,False,True,True
2017,Australian Open,QF,Zverev,29.1,48.1,56.4,52.8,37.6,33.3,53.7,45.7,42.3,50.0,50.0,20.8,37.5,63.2,-19,False,False,True,True
2017,Australian Open,R16,Nishikori,37.8,52.7,53.8,61.7,47.2,51.0,68.8,65.5,50.0,42.3,20.0,17.5,30.0,42.4,49,False,False,True,True
2017,Australian Open,R128,Melzer,44.7,54.4,44.6,46.7,49.4,55.2,62.7,62.5,48.4,50.0,50.0,25.7,40.0,42.3,-37,False,False,True,True
2016,Wimbledon,SF,Raonic,37.5,54.4,54.7,67.3,46.8,43.9,69.4,59.1,51.1,56.9,71.4,29.8,33.3,37.5,43,False,True,False,False
2016,Wimbledon,QF,Cilic,45.0,54.4,48.4,52.2,50.7,56.6,67.0,65.8,52.5,65.2,50.0,25.4,33.3,44.7,-79,False,True,False,True
2016,Wimbledon,R64,Willis,35.6,46.6,59.6,63.0,45.3,40.0,55.6,55.8,59.1,34.8,100.0,28.6,32.1,55.0,-79,False,True,False,True
2016,Stuttgart,SF,Thiem,31.2,45.9,47.9,57.5,38.4,42.0,58.0,53.5,58.6,45.0,33.3,13.2,26.3,36.4,-3,False,True,False,False
2016,Stuttgart,R16,Fritz,34.7,56.8,58.3,69.4,45.1,41.9,67.7,57.7,46.4,50.0,25.0,22.6,38.7,41.7,13,False,True,False,True
2016,Rome,R16,Thiem,33.3,40.0,43.8,37.0,37.5,42.6,53.2,49.1,42.1,57.1,33.3,19.2,19.2,52.4,-23,True,False,False,False
2016,Rome,R32,Zverev,32.2,50.8,65.0,68.4,39.3,42.4,60.6,55.2,57.1,57.9,100.0,19.2,38.5,61.9,-79,True,False,False,True
2016,Monte Carlo,QF,Tsonga,25.0,36.9,50.8,54.3,32.6,28.6,44.9,41.6,32.0,58.3,25.0,22.6,29.0,45.8,94,True,False,False,False
2016,Australian Open,SF,Djokovic,28.0,36.0,39.4,38.9,32.8,36.8,47.4,45.3,45.2,38.5,0.0,16.7,21.4,40.0,-44,False,False,True,False
2016,Australian Open,QF,Berdych,35.6,52.9,60.4,68.8,46.9,46.7,63.3,63.0,37.9,58.1,0.0,12.5,33.3,47.6,4,False,False,True,True
2016,Australian Open,R32,Dimitrov,33.0,48.2,55.7,54.1,39.6,47.1,61.4,57.7,58.8,58.3,60.0,10.8,29.7,57.6,-13,False,False,True,True
2016,Brisbane,F,Raonic,36.7,41.7,47.2,43.8,37.5,52.9,55.9,54.4,53.8,52.4,33.3,16.7,25.0,50.0,37,False,False,True,False
2015,Tour Finals,F,Djokovic,27.1,33.9,48.8,57.1,35.6,28.2,38.5,41.0,50.0,57.1,66.7,27.8,27.8,30.8,72,False,False,True,False
2015,Tour Finals,SF,Wawrinka,23.4,39.1,67.4,65.5,33.6,29.3,46.3,45.1,61.1,52.2,100.0,15.0,30.0,70.6,25,False,False,True,True
2015,Tour Finals,RR,Djokovic,40.7,53.7,56.7,50.0,47.4,50.0,66.7,60.0,43.8,60.0,100.0,25.0,31.3,66.7,89,False,False,True,True
2015,Tour Finals,RR,Nishikori,27.7,39.4,46.9,73.3,35.6,41.2,58.8,55.9,60.0,53.8,66.7,12.8,17.9,23.5,10,False,False,True,True
2015,Paris,R32,Seppi,27.5,55.0,71.4,66.7,39.3,30.8,57.7,48.8,50.0,64.3,100.0,23.1,53.8,80.0,29,False,False,True,True
2015,Basel,F,Nadal,36.7,56.7,54.5,59.5,49.0,40.3,64.5,58.2,53.1,36.7,0.0,30.8,42.3,44.4,29,False,False,True,True
2015,Basel,SF,Sock,35.7,50.0,60.0,77.3,47.3,43.6,61.5,60.3,52.6,65.0,100.0,18.8,25.0,30.8,10,False,False,True,True
2015,Basel,QF,Goffin,26.8,46.3,55.4,69.0,37.1,32.6,60.5,52.1,66.7,54.5,50.0,22.9,34.3,40.7,76,False,False,True,True
2015,Basel,R32,Kukushkin,35.0,67.5,82.6,81.8,45.0,50.0,86.4,68.2,55.6,61.5,0.0,20.0,53.3,83.3,65,False,False,True,True
2015,Shanghai,R32,Ramos,33.8,50.6,66.0,71.0,45.7,43.6,61.8,60.4,53.6,44.4,100.0,9.5,23.8,57.9,-18,False,False,True,False
2015,US Open,F,Djokovic,32.1,41.6,46.6,51.9,39.3,40.2,51.7,51.5,53.3,61.9,42.9,20.0,26.7,38.9,72,False,False,True,False
2015,US Open,SF,Wawrinka,33.8,50.6,63.3,64.3,41.8,44.0,64.0,56.4,70.0,66.7,0.0,16.0,28.0,61.9,33,False,False,True,True
2015,US Open,R16,Isner,47.7,60.4,56.6,56.0,52.0,60.3,71.4,67.8,39.4,46.7,25.0,34.9,51.2,57.1,-45,False,False,True,True
2015,US Open,R32,Kohlschreiber,32.5,49.4,51.9,56.3,38.8,37.3,52.9,47.5,33.3,45.8,50.0,31.0,51.7,45.0,105,False,False,True,True
2015,US Open,R64,Darcis,42.6,63.9,61.8,70.0,51.6,53.5,79.1,66.3,55.6,56.0,0.0,17.6,29.4,50.0,5,False,False,True,True
2015,US Open,R128,Mayer,45.5,60.6,64.5,61.9,54.1,52.3,72.7,65.2,47.1,63.0,0.0,41.2,47.1,70.0,232,False,False,True,True
2015,Cincinnati,QF,Lopez,35.8,52.8,64.7,72.7,45.8,40.5,59.5,54.9,68.8,52.4,50.0,25.0,37.5,50.0,-79,False,False,True,True
2015,Wimbledon,F,Djokovic,31.2,44.7,52.1,57.9,40.1,39.4,52.1,52.8,47.5,51.9,0.0,15.9,31.8,43.2,18,False,True,False,False
2015,Wimbledon,SF,Murray,40.7,58.2,62.3,71.1,52.9,44.9,66.7,61.0,44.8,62.5,100.0,28.6,33.3,40.0,-10,False,True,False,True
2015,Wimbledon,QF,Simon,44.0,60.0,56.1,57.7,52.4,52.7,69.1,64.2,55.6,46.4,100.0,21.1,36.8,53.3,-3,False,True,False,True
2015,Wimbledon,R64,Querrey,31.2,54.5,62.7,64.3,40.6,40.4,63.8,56.0,40.0,51.9,0.0,17.9,42.9,60.9,22,False,True,False,True
2015,Halle,F,Seppi,35.6,52.1,57.4,65.5,45.1,45.3,62.3,58.3,56.5,56.7,66.7,10.0,25.0,44.4,-79,False,True,False,True
2015,Halle,SF,Karlovic,42.3,57.7,62.2,71.0,53.2,46.6,65.5,61.2,40.9,61.1,100.0,30.0,35.0,42.9,-79,False,True,False,True
2015,Roland Garros,QF,Wawrinka,28.6,37.5,48.8,48.8,34.6,38.6,45.7,48.1,40.0,55.0,60.0,11.9,23.8,48.6,-79,True,False,False,False
2015,Roland Garros,R16,Monfils,36.0,48.0,54.0,54.3,41.7,42.6,57.4,52.0,28.6,63.6,100.0,26.3,34.2,53.6,-40,True,False,False,True
2015,Roland Garros,R32,Dzumhur,22.0,36.6,59.7,56.8,32.3,28.8,50.0,45.2,39.1,48.3,0.0,10.7,14.3,64.0,-27,True,False,False,True
2015,Rome,F,Djokovic,27.4,41.9,47.7,56.0,38.7,39.0,58.5,56.1,56.3,72.0,100.0,5.0,10.0,36.8,-66,True,False,False,False
2015,Rome,SF,Wawrinka,37.5,52.1,62.1,63.2,50.0,45.7,62.9,62.9,41.2,50.0,100.0,16.7,25.0,60.0,37,True,False,False,True
2015,Rome,QF,Berdych,31.3,54.2,60.6,76.5,40.6,41.4,72.4,56.9,50.0,53.3,0.0,15.8,26.3,43.8,-79,True,False,False,True
2015,Madrid,R32,Kyrgios,31.8,49.6,54.0,62.8,39.3,41.9,64.9,55.0,58.1,55.8,0.0,18.5,29.6,45.5,-52,True,False,False,False
2015,Istanbul,F,Cuevas,31.9,51.4,59.6,59.4,41.9,38.5,61.5,52.3,26.3,60.6,0.0,16.7,27.8,60.0,47,False,False,True,True
2015,Monte Carlo,R16,Monfils,20.7,33.3,48.5,53.1,28.2,31.9,46.8,45.7,52.4,57.7,66.7,7.7,17.9,44.4,-41,True,False,False,False
2015,Indian Wells,F,Djokovic,24.5,38.8,45.1,54.3,30.4,38.6,52.6,48.8,48.4,53.8,83.3,5.3,21.1,36.1,-64,False,False,True,False
2015,Indian Wells,SF,Raonic,31.7,44.4,62.8,66.7,37.5,35.7,50.0,44.3,26.1,52.6,0.0,23.8,33.3,56.3,-79,False,False,True,True
2015,Dubai,F,Djokovic,36.7,49.4,46.9,54.2,44.1,53.8,69.2,65.0,66.7,35.5,25.0,3.8,11.5,40.0,-77,False,False,True,True
2015,Dubai,SF,Coric,34.7,38.8,44.8,50.0,40.4,43.8,50.0,52.5,35.7,44.4,33.3,21.4,21.4,36.4,76,False,False,True,True
2015,Dubai,R16,Verdasco,42.5,62.5,60.9,66.7,51.2,57.1,82.1,69.6,40.0,38.5,0.0,8.3,16.7,54.5,-79,False,False,True,True
2015,Australian Open,R32,Seppi,35.5,48.6,55.0,59.0,41.7,52.4,65.9,62.8,50.0,45.2,33.3,12.8,27.7,51.2,0,False,False,True,False
2015,Australian Open,R128,Lu,30.1,57.8,72.2,75.0,43.1,42.9,75.0,62.1,60.9,60.6,66.7,4.3,26.1,68.2,-76,False,False,True,True
2015,Brisbane,F,Raonic,44.0,53.0,46.4,55.2,50.0,54.7,64.1,64.1,50.0,61.1,50.0,25.0,33.3,37.0,-79,False,False,True,True
2014,Tour Finals,SF,Wawrinka,34.3,42.6,46.5,51.5,39.6,42.1,56.1,52.3,54.2,48.5,100.0,25.5,27.5,42.1,-79,False,False,True,True
2014,Tour Finals,RR,Raonic,36.0,48.0,54.3,58.3,42.3,41.5,58.5,52.9,47.4,45.5,50.0,31.3,37.5,50.0,10,False,False,True,True
2014,Basel,QF,Dimitrov,40.0,52.3,60.5,62.5,46.6,56.8,70.3,68.4,45.0,64.7,100.0,18.5,29.6,59.1,-25,False,False,True,True
2014,Davis Cup,RR,Fognini,37.5,50.0,60.3,62.9,43.3,39.7,56.9,49.3,50.0,52.9,25.0,36.1,41.7,56.5,1,False,False,True,True
2014,US Open,QF,Monfils,29.8,44.4,54.8,63.6,38.7,35.3,54.1,51.1,53.8,47.8,33.3,23.4,32.8,44.9,-56,False,False,True,True
2014,US Open,R128,Matosevic,43.7,60.9,62.5,77.4,52.6,48.3,68.3,61.3,52.0,37.1,0.0,34.6,46.2,35.3,-23,False,False,True,True
2014,Cincinnati,F,Ferrer,36.5,52.7,48.9,56.0,45.3,45.7,60.9,59.8,33.3,52.0,0.0,23.1,42.3,40.0,29,False,False,True,True
2014,Cincinnati,SF,Raonic,38.5,57.7,59.4,73.3,48.7,54.5,75.8,70.6,14.3,47.4,0.0,10.5,26.3,47.1,-79,False,False,True,True
2014,Cincinnati,QF,Murray,31.7,46.0,50.0,50.0,39.2,43.6,61.5,55.6,66.7,42.9,33.3,14.3,23.8,50.0,19,False,False,True,True
2014,Canada,F,Tsonga,29.0,47.0,50.7,53.7,39.5,36.9,60.0,53.1,43.3,54.3,40.0,16.1,25.8,46.2,39,False,False,True,False
2014,Wimbledon,F,Djokovic,34.9,46.9,50.8,58.1,43.2,44.4,60.2,56.3,58.3,49.3,14.3,14.8,18.5,39.1,31,False,True,False,False
2014,Wimbledon,SF,Raonic,38.8,55.0,62.5,66.7,47.4,42.3,59.6,55.6,34.8,48.3,100.0,33.3,48.1,55.6,-25,False,True,False,True
2014,Wimbledon,QF,Wawrinka,36.1,53.8,62.7,66.7,48.4,37.7,58.4,56.6,37.1,57.1,0.0,34.1,46.3,55.6,-43,False,True,False,True
2014,Halle,F,Falla,33.3,53.3,62.5,70.4,43.6,42.6,70.2,58.9,40.9,60.0,50.0,19.2,26.9,52.4,29,False,True,False,True
2014,Roland Garros,R16,Gulbis,26.7,41.0,49.6,54.9,34.2,29.7,46.5,41.7,46.8,63.0,40.0,22.8,33.3,40.9,-3,True,False,False,False
2014,Roland Garros,R64,Schwartzman,37.0,48.1,59.2,66.7,42.8,47.1,60.8,56.3,40.9,48.3,0.0,21.4,28.6,50.0,22,True,False,False,True
2014,Rome,R32,Chardy,35.6,49.5,43.8,45.2,42.4,40.8,54.9,50.4,40.6,59.0,75.0,26.7,40.0,40.9,-30,True,False,False,False
2014,Monte Carlo,F,Wawrinka,20.4,35.0,55.6,65.4,32.1,23.5,39.7,41.3,51.6,56.8,75.0,14.7,26.5,37.9,-36,True,False,False,False
